Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Quantity,Unit_Price,Discount_%,Revenue,Product_Cost,Profit,Acquisition_Channel,Payment_Method,Delivery_Days,Order_Status,Returned,Complaint,Customer_Rating,Repeat_Purchase,Month,Month_Number
LL10001,2025-04-13,C1436,Returning,Maxi Skirt,Skirts,1,26000.0,12.37,22783.98,15500,7283.98,Instagram,Card,5,Delivered,No,No,4,Yes,Apr,4
LL10002,2025-10-21,C1386,New,Mini Handbag,Bags,1,20876.51,17.2,17285.25,12500,4785.25,Instagram,Transfer,1,Delivered,No,No,4,Yes,Oct,10
LL10003,2025-02-20,C1364,New,Basic Bodysuit,Tops,1,15000.0,15.61,12658.34,9000,3658.34,Instagram,USSD,2,Delivered,No,No,4,No,Feb,2
LL10004,2025-09-21,C1431,New,Satin Dress,Dresses,1,33355.06,19.82,26743.35,21000,5743.35,TikTok,Card,2,Delivered,No,No,4,No,Sep,9
LL10005,2025-09-27,C1351,Returning,Statement Earrings,Accessories,3,8708.06,21.93,20395.77,10500,9895.77,Referral,Card,9,Delivered,No,Yes,2,Yes,Sep,9
LL10006,2025-06-06,C1015,New,Basic Bodysuit,Tops,3,15000.0,18.61,36626.62,27000,9626.62,Referral,Transfer,5,Delivered,No,No,4,Yes,Jun,6
LL10007,2025-05-15,C1201,Returning,Linen Two-Piece,Two-Piece Sets,1,42000.0,8.77,38316.07,27000,11316.07,WhatsApp,Card,1,Delivered,No,No,3,Yes,May,5
LL10008,2025-12-25,C1283,Returning,Premium Jumpsuit,Jumpsuits,1,47248.83,21.92,36891.39,34000,2891.39,Instagram,Card,5,Delivered,No,No,2,Yes,Dec,12
LL10009,2025-06-20,C1029,New,Silk Scarf,Accessories,2,12000.0,5.96,22570.19,11000,11570.19,Google,Card,2,Delivered,No,No,4,No,Jun,6
LL10010,2025-12-14,C1473,New,Satin Dress,Dresses,1,33313.53,27.84,24037.97,21000,3037.97,Instagram,Transfer,3,Delivered,No,No,3,No,Dec,12
LL10011,2025-06-01,C1463,New,Statement Earrings,Accessories,3,9000.0,5.28,25573.13,10500,15073.13,Walk-in,Transfer,5,Delivered,No,No,4,No,Jun,6
LL10012,2025-02-23,C1343,New,Satin Dress,Dresses,1,35000.0,12.84,30507.07,21000,9507.07,WhatsApp,Card,6,Delivered,No,No,2,No,Feb,2
